+----+-----------+---------------+------------+--------------+----------+-------------+--------+---------------+------------------+-----------+
|    | N_MODEL   |   HIDDEN_SIZE |   N_LAYERS |   DIRECTIONS |   RECALL |   PERCISION |     F1 |   RECALL_WO_O |   PERCISION_WO_O |   F1_WO_O |
|----+-----------+---------------+------------+--------------+----------+-------------+--------+---------------+------------------+-----------|
|  0 | Model1    |           800 |          3 |            2 |   0.9011 |      0.8951 | 0.8884 |        0.5412 |           0.8883 |    0.6636 |
|  1 | Model2    |           800 |          3 |            2 |   0.9059 |      0.9009 | 0.8939 |        0.5597 |           0.9017 |    0.6810 |
|  2 | Model3    |           800 |          3 |            2 |   0.9034 |      0.8983 | 0.8916 |        0.5465 |           0.8822 |    0.6676 |
|  3 | Model4    |           800 |          3 |            2 |   0.9085 |      0.9048 | 0.8964 |        0.5680 |           0.9120 |    0.6883 |
|  4 | Model5    |           800 |          3 |            2 |   0.9158 |      0.9128 | 0.9081 |        0.6187 |           0.9282 |    0.7384 |
|  5 | Model6    |           800 |          3 |            2 |   0.9288 |      0.9252 | 0.9236 |        0.6903 |           0.9318 |    0.7877 |
|  6 | Model7    |           800 |          3 |            2 |   0.9070 |      0.9060 | 0.8939 |        0.5555 |           0.9312 |    0.6825 |
|  7 | Model8    |           800 |          3 |            2 |   0.9237 |      0.9220 | 0.9161 |        0.6468 |           0.9456 |    0.7597 |
|  8 | Model9    |           800 |          3 |            2 |   0.9344 |      0.9326 | 0.9286 |        0.7053 |           0.9548 |    0.8019 |
+----+-----------+---------------+------------+--------------+----------+-------------+--------+---------------+------------------+-----------+
